RANKED SIMILARITIES: 1
3 82 1.93985162072
3 42 1.93985162072
3 81 1.94123466118
3 84 1.9426691048
3 60 1.95036388417
3 4 1.95206210369
3 9 1.95439414956
3 21 1.95769749601
3 50 1.96292704085
3 19 1.96688312402
3 13 1.9704951578
3 56 1.97284666523
3 38 1.97304592123
3 39 1.97431528343
3 25 inf
3 48 inf
3 52 inf
3 53 inf
3 55 inf
3 64 inf
3 67 inf
3 87 inf
RANKED SIMILARITIES: 4
4 19 0.67243056802
4 15 0.737972222872
4 82 0.77244419308
4 47 0.848131489316
4 9 1.27900458449
4 12 1.4260788926
4 85 1.46217703122
4 5 1.49565942008
4 56 1.50868644653
4 29 1.52288098913
4 65 1.55632206391
4 78 1.56096800309
4 13 1.62565260811
4 91 1.68469527251
4 2 1.93511158512
4 6 1.95203195982
4 17 1.95206210369
4 22 1.95206210369
4 66 1.95206210369
4 97 1.95206210369
4 27 1.95206210369
4 46 1.95206210369
4 93 1.95206210369
4 3 1.95206210369
4 24 1.95206210369
4 77 1.95206210369
4 35 1.95206210369
4 71 1.95206210369
4 89 1.95206210369
4 11 1.95206210369
4 59 1.95206210369
4 61 1.95206210369
4 70 1.95206210369
4 36 1.95206210369
4 76 1.95206210369
4 20 1.95206210369
4 92 1.95206210369
4 80 1.95206210369
4 26 1.95206210369
4 58 1.95206210369
4 23 1.95206210369
4 49 1.95206210369
4 8 1.95213817033
4 94 1.95216734704
4 86 1.9521936406
4 7 1.9521936406
4 14 1.9521936406
4 54 1.9521936406
4 68 1.9521936406
4 16 1.9521936406
4 84 1.9521936406
4 43 1.9521936406
4 90 1.9521936406
4 28 1.9521936406
4 44 1.9521936406
4 31 1.9521936406
4 62 1.9521936406
4 63 1.9521936406
4 95 1.9521936406
4 96 1.9521936406
4 10 1.9521936406
4 18 1.9521936406
4 57 1.9521936406
4 79 1.9521936406
4 81 1.9521936406
4 88 1.9521936406
4 30 1.9521936406
4 37 1.9521936406
4 72 1.9521936406
4 32 1.9521936406
4 33 1.9521936406
4 75 1.9521936406
4 34 1.9521936406
4 42 1.9521936406
4 45 1.9521936406
4 73 1.9521936406
4 83 1.9521936406
4 74 1.9521936406
4 41 1.95273644418
4 21 1.95769749601
4 50 1.96292783164
4 69 1.97142667871
4 38 1.97304592123
4 60 1.97357830211
4 39 1.97431528343
4 40 1.98185835648
4 51 1.98367922438
4 25 inf
4 48 inf
4 52 inf
4 53 inf
4 55 inf
4 64 inf
4 67 inf
4 87 inf
RANKED SIMILARITIES: 5
5 29 0.663058965306
5 13 0.834785181965
5 78 1.12041177002
5 9 1.30314056922
5 85 1.37695569969
5 65 1.38312931829
5 19 1.42837167987
5 56 1.47611293244
5 4 1.49565942008
5 82 1.55082454216
5 12 1.56828544756
5 91 1.65191382575
5 15 1.68091006103
5 47 1.74778959314
5 2 1.91921296903
5 8 1.92912723741
5 17 1.92917785243
5 7 1.92917785243
5 27 1.92917785243
5 71 1.92917785243
5 24 1.92917785243
5 76 1.92917785243
5 32 1.92917785243
5 58 1.92917785243
5 83 1.92917841535
5 90 1.92917871506
5 88 1.9291788249
5 10 1.92917961348
5 18 1.92917961545
5 68 1.92917986795
5 57 1.92918012931
5 89 1.92918014501
5 86 1.92918078878
5 95 1.92918106543
5 94 1.9291812582
5 63 1.92918173234
5 37 1.92918196061
5 77 1.92918228803
5 96 1.92918230606
5 97 1.92918244936
5 80 1.92918250875
5 20 1.92918301267
5 43 1.92918307122
5 35 1.92918330237
5 74 1.92918337869
5 22 1.92918353559
5 31 1.92918353559
5 44 1.92918353559
5 46 1.92918353559
5 70 1.92918353559
5 62 1.92918353559
5 6 1.92918353559
5 61 1.92918353559
5 79 1.92918353559
5 30 1.92918353559
5 59 1.92918353559
5 92 1.92918353559
5 45 1.92918353559
5 33 1.92918353559
5 75 1.92918353559
5 26 1.92918353559
5 42 1.92918353559
5 73 1.92918353559
5 23 1.92918353559
5 49 1.92918353559
5 14 1.9324617808
5 93 1.9338660921
5 16 1.93669686488
5 28 1.93933844365
5 54 1.93942531984
5 3 1.93984646985
5 81 1.94123412889
5 84 1.9426685725
5 72 1.94306958068
5 11 1.94757918025
5 66 1.94786548831
5 34 1.95098207934
5 36 1.95160446122
5 41 1.95273553317
5 21 1.95769749601
5 50 1.96292704085
5 69 1.97146382551
5 38 1.97304592123
5 60 1.97370503846
5 39 1.97431528343
5 40 1.98198989339
5 51 1.98367922438
5 25 inf
5 48 inf
5 52 inf
5 53 inf
5 55 inf
5 64 inf
5 67 inf
5 87 inf
RANKED SIMILARITIES: 6
6 27 1.13439415706
6 2 1.30481392953
6 76 1.4246011852
6 91 1.47446291143
6 92 1.48911066432
6 63 1.4966461461
6 78 1.51172939226
6 58 1.57280017332
6 44 1.58627978048
6 32 1.60884381524
6 83 1.61093542544
6 97 1.66690749355
6 82 1.67401986676
6 15 1.68188624695
6 90 1.68524581383
6 80 1.71422077887
6 94 1.72352507619
6 7 1.73040511336
6 47 1.74631591948
6 75 1.7825902224
6 30 1.79274411093
6 59 1.79699768461
6 62 1.79821195991
6 71 1.80018326791
6 95 1.80393944789
6 57 1.8063584472
6 88 1.80894025241
6 89 1.81467408144
6 77 1.82662991632
6 73 1.84236108036
6 68 1.84296750948
6 96 1.84640654347
6 33 1.84814110633
6 46 1.85786244298
6 43 1.86204171134
6 35 1.8657086024
6 37 1.86810217709
6 79 1.87152489869
6 65 1.87225345033
6 20 1.88384115624
6 8 1.88476368215
6 49 1.88632183699
6 29 1.88648578279
6 74 1.88948362644
6 45 1.89286679997
6 85 1.89402383029
6 26 1.89595992649
6 61 1.8969973693
6 86 1.90010334427
6 24 1.90139512569
6 70 1.90469376557
6 17 1.9066592809
6 31 1.90713596962
6 18 1.90862530259
6 23 1.91294676133
6 22 1.91340425886
6 42 1.91434430239
6 10 1.92420526898
6 5 1.92918353559
6 14 1.93246746396
6 93 1.9338660921
6 16 1.93669818898
6 28 1.93933844365
6 54 1.93942531984
6 3 1.93985162072
6 81 1.94123981205
6 84 1.94267425566
6 72 1.94307020432
6 11 1.94757918025
6 66 1.94786548831
6 34 1.95098207934
6 36 1.95160446122
6 4 1.95203195982
6 41 1.95273644418
6 9 1.95432451895
6 21 1.95769749601
6 50 1.96292783164
6 19 1.9659966569
6 13 1.9703175016
6 12 1.97041340073
6 69 1.97146506374
6 56 1.97284666523
6 38 1.97304592123
6 60 1.97370983902
6 39 1.97431528343
6 40 1.98198989339
6 51 1.98367922438
6 25 inf
6 48 inf
6 52 inf
6 53 inf
6 55 inf
6 64 inf
6 67 inf
6 87 inf
RANKED SIMILARITIES: 7
7 54 1.10812686925
7 44 1.28862847354
7 89 1.33386217009
7 83 1.34037144309
7 8 1.36634638703
7 32 1.36690468575
7 75 1.37248785243
7 14 1.40076844501
7 95 1.40867721755
7 18 1.46408343095
7 68 1.46538990942
7 16 1.48777636542
7 63 1.51448619959
7 97 1.51961412617
7 73 1.53474773871
7 51 1.54885897609
7 41 1.55385434476
7 76 1.56269151201
7 94 1.56362458397
7 88 1.56664785997
7 79 1.5701863353
7 31 1.63171994993
7 33 1.63941487354
7 37 1.65087614614
7 3 1.67844537262
7 34 1.68233709377
7 45 1.68463126699
7 78 1.73038312464
7 27 1.73039941714
7 58 1.73039941714
7 90 1.73040029283
7 15 1.73040380912
7 80 1.73040408652
7 91 1.73040470716
7 2 1.73040511336
7 82 1.73040511336
7 6 1.73040511336
7 92 1.73040511336
7 47 1.74631591948
7 40 1.78259275491
7 69 1.78924186762
7 30 1.79274411093
7 59 1.79699768461
7 62 1.79821195991
7 71 1.80017757168
7 57 1.80635504091
7 35 1.80881555033
7 20 1.82144667326
7 77 1.82662866876
7 96 1.84640531394
7 46 1.85786244298
7 43 1.86204124697
7 72 1.86230552359
7 65 1.8722477541
7 49 1.88629328501
7 29 1.88666910054
7 74 1.88948346954
7 85 1.89408025537
7 26 1.89595992649
7 61 1.8969973693
7 86 1.90010059746
7 24 1.90138942946
7 12 1.90383969996
7 70 1.90469376557
7 17 1.90665358467
7 23 1.91294676133
7 22 1.91340425886
7 42 1.91434430239
7 10 1.92420134686
7 5 1.92917785243
7 93 1.9338660921
7 28 1.93933844365
7 81 1.94123411582
7 84 1.94266855943
7 66 1.94675207627
7 11 1.94757918025
7 36 1.95160446122
7 4 1.9521936406
7 9 1.95439414956
7 21 1.95769749601
7 50 1.96292704085
7 19 1.96688312402
7 13 1.9704951578
7 56 1.97284666523
7 38 1.97304592123
7 60 1.97370503846
7 39 1.97431528343
7 25 inf
7 48 inf
7 52 inf
7 53 inf
7 55 inf
7 64 inf
7 67 inf
7 87 inf
RANKED SIMILARITIES: 8
8 44 1.14466776819
8 14 1.16963886502
8 18 1.17806542986
8 54 1.17963062726
8 89 1.18078088659
8 16 1.30577510072
8 51 1.3068716996
8 7 1.36634638703
8 73 1.42843868409
8 68 1.42876359113
8 75 1.43481102224
8 95 1.43497645261
8 83 1.44305193601
8 34 1.4449100203
8 79 1.45025289717
8 32 1.48695024678
8 31 1.50023071999
8 41 1.53749263882
8 3 1.57643022213
8 37 1.59521648805
8 88 1.60051854142
8 45 1.60798704372
8 33 1.62503965081
8 63 1.64194028762
8 69 1.64839986079
8 97 1.65038521215
8 76 1.66110467908
8 40 1.66523609709
8 94 1.66867783176
8 20 1.81445777315
8 35 1.81651394993
8 72 1.86740402183
8 78 1.88470738396
8 15 1.88470738396
8 65 1.88470738396
8 91 1.88470780567
8 47 1.88470821188
8 82 1.88470821188
8 2 1.88470821188
8 57 1.88476285424
8 77 1.88476285424
8 90 1.88476285424
8 96 1.88476285424
8 80 1.88476285424
8 27 1.88476285424
8 71 1.88476285424
8 58 1.88476285424
8 43 1.88476321777
8 62 1.88476368215
8 30 1.88476368215
8 46 1.88476368215
8 6 1.88476368215
8 59 1.88476368215
8 92 1.88476368215
8 49 1.88626831236
8 29 1.88663758864
8 74 1.88948346954
8 85 1.8940247851
8 26 1.89595992649
8 61 1.8969973693
8 12 1.89935119963
8 86 1.90010251636
8 24 1.90139429777
8 70 1.90469376557
8 17 1.90665845299
8 23 1.91294676133
8 22 1.91340425886
8 42 1.91434430239
8 10 1.92420444106
8 5 1.92912723741
8 93 1.9338660921
8 28 1.93933844365
8 81 1.94123898414
8 84 1.94267342775
8 66 1.9456302802
8 11 1.94757918025
8 36 1.95160446122
8 4 1.95213817033
8 9 1.95433867929
8 21 1.95769749601
8 50 1.96292704085
8 19 1.96682765375
8 13 1.97043968753
8 56 1.97279119495
8 38 1.97304592123
8 60 1.97370901111
8 39 1.97431528343
8 25 inf
8 48 inf
8 52 inf
8 53 inf
8 55 inf
8 64 inf
8 67 inf
8 87 inf
RANKED SIMILARITIES: 9
9 19 1.13425557821
9 82 1.23126560022
9 4 1.27900458449
9 5 1.30314056922
9 29 1.36372078603
9 85 1.36530627858
9 56 1.40507817556
9 65 1.42278600375
9 78 1.45505459047
9 12 1.49167161477
9 13 1.50287661957
9 15 1.54459371099
9 47 1.5520701316
9 91 1.67956004863
9 2 1.94447605222
9 6 1.95432451895
9 8 1.95433867929
9 17 1.95439414956
9 86 1.95439414956
9 7 1.95439414956
9 68 1.95439414956
9 14 1.95439414956
9 66 1.95439414956
9 97 1.95439414956
9 54 1.95439414956
9 95 1.95439414956
9 22 1.95439414956
9 84 1.95439414956
9 16 1.95439414956
9 27 1.95439414956
9 28 1.95439414956
9 43 1.95439414956
9 71 1.95439414956
9 35 1.95439414956
9 70 1.95439414956
9 77 1.95439414956
9 90 1.95439414956
9 93 1.95439414956
9 24 1.95439414956
9 31 1.95439414956
9 44 1.95439414956
9 46 1.95439414956
9 63 1.95439414956
9 3 1.95439414956
9 36 1.95439414956
9 57 1.95439414956
9 62 1.95439414956
9 88 1.95439414956
9 89 1.95439414956
9 96 1.95439414956
9 18 1.95439414956
9 37 1.95439414956
9 79 1.95439414956
9 11 1.95439414956
9 20 1.95439414956
9 30 1.95439414956
9 59 1.95439414956
9 81 1.95439414956
9 10 1.95439414956
9 41 1.95439414956
9 61 1.95439414956
9 92 1.95439414956
9 94 1.95439414956
9 45 1.95439414956
9 76 1.95439414956
9 32 1.95439414956
9 72 1.95439414956
9 33 1.95439414956
9 75 1.95439414956
9 26 1.95439414956
9 34 1.95439414956
9 42 1.95439414956
9 80 1.95439414956
9 73 1.95439414956
9 58 1.95439414956
9 23 1.95439414956
9 83 1.95439414956
9 49 1.95439414956
9 74 1.95439414956
9 21 1.95769749601
9 50 1.96292783164
9 69 1.97146506374
9 38 1.97304592123
9 60 1.97370983902
9 39 1.97431528343
9 40 1.98198989339
9 51 1.98367922438
9 25 inf
9 48 inf
9 52 inf
9 53 inf
9 55 inf
9 64 inf
9 67 inf
9 87 inf
RANKED SIMILARITIES: 10
10 30 0.965580940911
10 81 1.33298168888
10 96 1.36167593459
10 21 1.36213016737
10 28 1.40638415063
10 86 1.40791419552
10 74 1.42685838189
10 57 1.43502019181
10 39 1.43950609007
10 38 1.47637994515
10 62 1.52671273774
10 42 1.53382051257
10 50 1.565356756
10 84 1.56857019021
10 43 1.57815471382
10 72 1.63475486837
10 80 1.64155863961
10 35 1.68829309115
10 90 1.75429318432
10 37 1.80196221767
10 71 1.92238719275
10 46 1.92399438854
10 17 1.92420134686
10 7 1.92420134686
10 29 1.92420134686
10 27 1.92420134686
10 24 1.92420134686
10 65 1.92420134686
10 88 1.92420134686
10 76 1.92420134686
10 32 1.92420134686
10 58 1.92420134686
10 83 1.92420134686
10 18 1.92420134883
10 68 1.92420160133
10 89 1.92420187839
10 78 1.92420221499
10 95 1.92420279881
10 94 1.92420299158
10 63 1.92420346572
10 15 1.92420396473
10 77 1.92420402142
10 97 1.92420418274
10 8 1.92420444106
10 20 1.92420474606
10 91 1.92420486277
10 85 1.92420526898
10 47 1.92420526898
10 22 1.92420526898
10 70 1.92420526898
10 31 1.92420526898
10 2 1.92420526898
10 44 1.92420526898
10 6 1.92420526898
10 59 1.92420526898
10 79 1.92420526898
10 92 1.92420526898
10 61 1.92420526898
10 82 1.92420526898
10 45 1.92420526898
10 75 1.92420526898
10 26 1.92420526898
10 33 1.92420526898
10 73 1.92420526898
10 23 1.92420526898
10 49 1.92420526898
10 5 1.92917961348
10 14 1.93246354184
10 93 1.9338660921
10 16 1.93669686488
10 54 1.93942531984
10 3 1.9398476986
10 11 1.94757918025
10 66 1.94786548831
10 34 1.95098207934
10 36 1.95160446122
10 4 1.9521936406
10 41 1.95273553317
10 9 1.95439414956
10 19 1.96688312402
10 12 1.97045928215
10 13 1.9704951578
10 69 1.97146382551
10 56 1.97284666523
10 60 1.9737059169
10 40 1.98198989339
10 51 1.98367922438
10 25 inf
10 48 inf
10 52 inf
10 53 inf
10 55 inf
10 64 inf
10 67 inf
10 87 inf
RANKED SIMILARITIES: 11
11 93 1.17343340383
11 61 1.20206896798
11 26 1.20614964526
11 59 1.26518751788
11 49 1.33607976114
11 71 1.35766693618
11 20 1.3893773986
11 46 1.39729366549
11 70 1.4112040279
11 17 1.44163518135
11 24 1.47264945849
11 35 1.52678500865
11 92 1.5269291306
11 27 1.54509729802
11 22 1.57351718839
11 58 1.57542509585
11 66 1.58276871365
11 36 1.58670899341
11 23 1.71387235373
11 40 1.74190763226
11 77 1.81695167314
11 3 1.90792323521
11 76 1.91717904709
11 60 1.93980631401
11 80 1.94193532404
11 97 1.94415374478
11 2 1.94677627833
11 89 1.94739478466
11 94 1.94754998819
11 85 1.94756301967
11 78 1.94757918025
11 86 1.94757918025
11 16 1.94757918025
11 88 1.94757918025
11 54 1.94757918025
11 43 1.94757918025
11 33 1.94757918025
11 47 1.94757918025
11 57 1.94757918025
11 84 1.94757918025
11 90 1.94757918025
11 95 1.94757918025
11 15 1.94757918025
11 68 1.94757918025
11 29 1.94757918025
11 7 1.94757918025
11 28 1.94757918025
11 37 1.94757918025
11 62 1.94757918025
11 81 1.94757918025
11 14 1.94757918025
11 18 1.94757918025
11 6 1.94757918025
11 65 1.94757918025
11 79 1.94757918025
11 82 1.94757918025
11 96 1.94757918025
11 30 1.94757918025
11 5 1.94757918025
11 10 1.94757918025
11 45 1.94757918025
11 72 1.94757918025
11 91 1.94757918025
11 44 1.94757918025
11 31 1.94757918025
11 32 1.94757918025
11 42 1.94757918025
11 63 1.94757918025
11 75 1.94757918025
11 83 1.94757918025
11 8 1.94757918025
11 74 1.94757918025
11 73 1.94757918025
11 34 1.95098207934
11 4 1.95206210369
11 41 1.95273644418
11 9 1.95439414956
11 21 1.95769749601
11 50 1.96292783164
11 19 1.96688312402
11 12 1.97045928215
11 13 1.9704951578
11 69 1.97142255129
11 56 1.97284666523
11 38 1.97304592123
11 39 1.97431528343
11 51 1.98367922438
11 25 inf
11 48 inf
11 52 inf
11 53 inf
11 55 inf
11 64 inf
11 67 inf
11 87 inf
RANKED SIMILARITIES: 12
12 56 1.04817077338
12 4 1.4260788926
12 19 1.45816651488
12 9 1.49167161477
12 29 1.52094828674
12 5 1.56828544756
12 85 1.57541868155
12 13 1.59581914975
12 65 1.62491610473
12 78 1.62901944706
12 82 1.66470702014
12 91 1.70600207276
12 15 1.74553077884
12 47 1.85362782585
12 40 1.87771623604
12 73 1.88738217517
12 79 1.89555732395
12 14 1.898550439
12 31 1.89910187297
12 8 1.89935119963
12 44 1.90085677877
12 3 1.9015122428
12 89 1.90156217647
12 94 1.90203367374
12 16 1.90311098995
12 7 1.90383969996
12 54 1.90391544113
12 75 1.90475675093
12 41 1.90485897352
12 69 1.90499484405
12 34 1.90499800929
12 83 1.90511685432
12 45 1.90534481138
12 95 1.9079588683
12 68 1.90811267048
12 18 1.90879015868
12 88 1.91016249113
12 97 1.91110976588
12 33 1.92340553307
12 32 1.92357556824
12 37 1.92391336207
12 63 1.92524498786
12 76 1.92551013119
12 51 1.92766726595
12 20 1.93399634062
12 35 1.94008641374
12 72 1.94179802591
12 2 1.95959848278
12 6 1.97041340073
12 66 1.97045571403
12 17 1.97045928215
12 86 1.97045928215
12 22 1.97045928215
12 84 1.97045928215
12 28 1.97045928215
12 43 1.97045928215
12 70 1.97045928215
12 77 1.97045928215
12 27 1.97045928215
12 46 1.97045928215
12 71 1.97045928215
12 90 1.97045928215
12 93 1.97045928215
12 96 1.97045928215
12 21 1.97045928215
12 24 1.97045928215
12 62 1.97045928215
12 36 1.97045928215
12 57 1.97045928215
12 11 1.97045928215
12 30 1.97045928215
12 59 1.97045928215
12 81 1.97045928215
12 10 1.97045928215
12 61 1.97045928215
12 50 1.97045928215
12 92 1.97045928215
12 80 1.97045928215
12 26 1.97045928215
12 42 1.97045928215
12 58 1.97045928215
12 23 1.97045928215
12 49 1.97045928215
12 74 1.97045928215
12 38 1.97304592123
12 60 1.97370983902
12 39 1.97431528343
12 25 inf
12 48 inf
12 52 inf
12 53 inf
12 55 inf
12 64 inf
12 67 inf
12 87 inf
RANKED SIMILARITIES: 13
13 5 0.834785181965
13 29 1.26747937182
13 78 1.40652528606
13 9 1.50287661957
13 56 1.53057722968
13 85 1.535779653
13 65 1.55152829468
13 19 1.59083894115
13 12 1.59581914975
13 4 1.62565260811
13 82 1.6847203146
13 91 1.69502764357
13 15 1.78369149961
13 47 1.84263676773
13 2 1.96229111843
13 6 1.9703175016
13 8 1.97043968753
13 17 1.9704951578
13 86 1.9704951578
13 7 1.9704951578
13 68 1.9704951578
13 66 1.9704951578
13 14 1.9704951578
13 54 1.9704951578
13 97 1.9704951578
13 28 1.9704951578
13 84 1.9704951578
13 16 1.9704951578
13 43 1.9704951578
13 22 1.9704951578
13 35 1.9704951578
13 71 1.9704951578
13 95 1.9704951578
13 27 1.9704951578
13 90 1.9704951578
13 93 1.9704951578
13 21 1.9704951578
13 24 1.9704951578
13 31 1.9704951578
13 44 1.9704951578
13 46 1.9704951578
13 63 1.9704951578
13 70 1.9704951578
13 3 1.9704951578
13 62 1.9704951578
13 96 1.9704951578
13 36 1.9704951578
13 57 1.9704951578
13 89 1.9704951578
13 37 1.9704951578
13 59 1.9704951578
13 79 1.9704951578
13 81 1.9704951578
13 88 1.9704951578
13 10 1.9704951578
13 11 1.9704951578
13 18 1.9704951578
13 20 1.9704951578
13 77 1.9704951578
13 92 1.9704951578
13 94 1.9704951578
13 30 1.9704951578
13 61 1.9704951578
13 41 1.9704951578
13 45 1.9704951578
13 50 1.9704951578
13 72 1.9704951578
13 76 1.9704951578
13 32 1.9704951578
13 75 1.9704951578
13 26 1.9704951578
13 33 1.9704951578
13 34 1.9704951578
13 42 1.9704951578
13 80 1.9704951578
13 58 1.9704951578
13 73 1.9704951578
13 83 1.9704951578
13 23 1.9704951578
13 49 1.9704951578
13 74 1.9704951578
13 69 1.97146506374
13 38 1.97304592123
13 60 1.97370983902
13 39 1.97431528343
13 40 1.98198989339
13 51 1.98367922438
13 25 inf
13 48 inf
13 52 inf
13 53 inf
13 55 inf
13 64 inf
13 67 inf
13 87 inf
RANKED SIMILARITIES: 14
14 18 1.15948545805
14 8 1.16963886502
14 54 1.18456858193
14 89 1.22829323337
14 44 1.22966836973
14 51 1.31721038935
14 16 1.32217132959
14 7 1.40076844501
14 83 1.41922491062
14 75 1.45603723111
14 95 1.45728196537
14 68 1.46393614838
14 32 1.477446012
14 73 1.50805598753
14 79 1.52345819738
14 41 1.54378054018
14 3 1.56087733519
14 31 1.56374806509
14 69 1.62717350688
14 88 1.63123621808
14 45 1.6318736216
14 63 1.66525990403
14 34 1.66575543072
14 37 1.67241987985
14 76 1.68012381589
14 97 1.68787218605
14 40 1.68812140007
14 94 1.70070922574
14 33 1.71303583048
14 72 1.83005939725
14 35 1.85669876996
14 20 1.86668585022
14 12 1.898550439
14 71 1.93245763316
14 58 1.93245763316
14 27 1.93245861382
14 17 1.93245914091
14 65 1.93245945936
14 29 1.93246026837
14 24 1.93246037193
14 5 1.9324617808
14 90 1.93246264342
14 10 1.93246354184
14 57 1.93246405767
14 78 1.93246440997
14 86 1.93246471715
14 15 1.93246615972
14 77 1.9324662164
14 96 1.93246623443
14 80 1.93246643712
14 43 1.93246699958
14 91 1.93246705776
14 74 1.93246730706
