RANKED SIMILARITIES: 1 (converts to 0, then to 0) 
2 15 1.65591943845 (15, 13) 1styeargrad
2 82 1.65979769137 (83, 72) mlgrad
2 97 1.66646394889 (22, 19) 1styeargrad
2 90 1.68524581383 (13, 11) grad
2 80 1.71357688795 (27, 23) mlgrad
2 94 1.72349878263 (10, 8) mlgrad
2 7 1.73040511336 (21, 18) 1styeargrad
2 47 1.73295750719 (90, 78) mlgrad
2 85 1.77326917789 (6, 4) mlgrad
2 75 1.7825902224 (100, 88) 1styeargrad
2 30 1.79274411093 (68, 57) mlgrad
2 59 1.79619478269 (7, 5) grad
2 62 1.79821195991 (104, 92) mlgrad
2 71 1.79938036599 (20, 17) 1styeargrad
2 95 1.80393944789 (9, 7) professor
2 57 1.8063584472 (23, 20) mlgrad
2 88 1.80894025241 (17, 15) mlstaff
2 89 1.81449229399 (26, 22) 1styeargrad
2 77 1.82582701441 (89, 77) sloan
2 73 1.84236108036 (70, 59) sloan
2 68 1.84296750948 (38, 33) mlfrosh
2 96 1.84640654347 (25, 21) mlgrad
2 33 1.84814110633 (41, 35) mlstaff
2 65 1.85382662722 (53, 44) mlgrad
2 46 1.85705954106 (93, 81) sloan
2 43 1.86204171134 (101, 89) mlgrad
2 35 1.86490570049 (0, 0) sloan
2 37 1.86810217709 (94, 82) mlgrad
2 79 1.87152489869 (76, 65) sloan
2 29 1.87693121101 (4, 2) mlgrad
2 20 1.88303825432 (74, 63) sloan
2 8 1.88470821188 (18, 0) 
2 49 1.88551893507 (50, 42) mlgrad
2 74 1.88948362644 (75, 64) mlgrad
2 45 1.89286679997 (84, 73) sloan
2 26 1.89515702457 (63, 53) 1styeargrad
2 61 1.89619446739 (79, 68) mlfrosh
2 86 1.90010334427 (8, 6) mlgrad
2 24 1.90059222377 (78, 67) mlfrosh
2 70 1.90389086365 (40, 34) mlfrosh
2 17 1.90585637898 (0, 0) 5 year media lab
2 31 1.90713596962 (0, 0) sloan
2 18 1.90862530259 (30, 26) mlgrad
2 23 1.91214385941 (61, 51) sloan
2 22 1.91260135694 (49, 41) sloan
2 42 1.91434430239 (51, 0) 
2 5 1.91921296903 (24, 0) 
2 10 1.92420526898 (37, 32) mlgrad
2 14 1.93246746396 (16, 14) 1styeargrad
2 93 1.93306319018 (65, 54) mlgrad
2 4 1.93511158512 (55, 46) sloan
2 16 1.93669818898 (102, 90) mlurop
2 3 1.93916781423 (32, 28) mlfrosh
2 28 1.93933844365 (0, 0) 6years
2 54 1.93942531984 (91, 0) mlgrad
2 81 1.94123981205 (19, 16) 1styeargrad
2 84 1.94267425566 (77, 66) sloan
2 72 1.94307020432 (81, 70) sloan
2 9 1.94447605222 (0, 0) mlUrop
2 11 1.94677627833 (88, 76) 1styeargrad
2 66 1.94706258639 (42, 36) sloan
2 36 1.95080155931 (54, 45) sloan
2 34 1.95098207934 (96, 84) mlgrad
2 41 1.95273644418 (0, 0) prof
2 19 1.95624190641 (56, 47) sloan
2 21 1.95769749601 (103, 91) mlgrad
2 12 1.95959848278 (97, 85) sloan
2 13 1.96229111843 (87, 75) mlstaff
2 50 1.96292783164 (86, 74) sloan
2 56 1.96687405811 (95, 83) sloan
2 69 1.97142667871 (28, 24) 1styeargrad
2 60 1.9729069371 (67, 56) mlgrad
2 38 1.97304592123 (52, 43) sloan
2 39 1.97431528343 (60, 50) mlgrad
2 40 1.98118699147 (98, 86) sloan
2 51 1.98367922438 (58, 49) 1styeargrad
2 25 inf (0, 0) sloan
2 48 inf (0, 0) Germany
2 52 inf (0, 0) 
2 53 inf (43, 37) mlgrad
2 55 inf (0, 0) urop_hd
2 64 inf (66, 55) sloan
2 67 inf (0, 0) sloan
2 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 3 (converts to 32, then to 28) mlfrosh
3 32 0.933201063098 (0, 0) graduated
3 68 0.939924196507 (38, 33) mlfrosh
3 63 0.982677062643 (36, 31) mlgrad
3 89 1.01699671019 (26, 22) 1styeargrad
3 94 1.05105843463 (10, 8) mlgrad
3 69 1.39126970521 (28, 24) 1styeargrad
3 83 1.49292916567 (5, 3) mlgrad
3 45 1.53713739885 (84, 73) sloan
3 16 1.55817433612 (102, 90) mlurop
3 14 1.56087733519 (16, 14) 1styeargrad
3 54 1.56348514001 (91, 0) mlgrad
3 44 1.56420272777 (0, 0) 3rdyeargrad
3 8 1.57643022213 (18, 0) 
3 75 1.60244421505 (100, 88) 1styeargrad
3 18 1.60515445874 (30, 26) mlgrad
3 73 1.61882346413 (70, 59) sloan
3 88 1.63406143716 (17, 15) mlstaff
3 97 1.64712730111 (22, 19) 1styeargrad
3 79 1.66838551674 (76, 65) sloan
3 40 1.67245140476 (98, 86) sloan
3 31 1.67286528935 (0, 0) sloan
3 7 1.67844537262 (21, 18) 1styeargrad
3 95 1.67894225523 (9, 7) professor
3 51 1.69830764393 (58, 49) 1styeargrad
3 34 1.70873103238 (96, 84) mlgrad
3 37 1.71779073931 (94, 82) mlgrad
3 33 1.71990952851 (41, 35) mlstaff
3 76 1.72549494792 (82, 71) 1styeargrad
3 41 1.74603153566 (0, 0) prof
3 72 1.7971579352 (81, 70) sloan
3 35 1.82473665031 (0, 0) sloan
3 20 1.83917663533 (74, 63) sloan
3 92 1.89963346471 (46, 39) sloan
3 27 1.89981508391 (34, 0) 
3 46 1.90000717894 (93, 81) sloan
3 24 1.90003253812 (78, 67) mlfrosh
3 70 1.90007855523 (40, 34) mlfrosh
3 71 1.90014931752 (20, 17) 1styeargrad
3 26 1.90019395872 (63, 53) 1styeargrad
3 49 1.90023269229 (50, 42) mlgrad
3 93 1.90044406188 (65, 54) mlgrad
3 58 1.90048314068 (33, 29) mlfrosh
3 61 1.90051612819 (79, 68) mlfrosh
3 59 1.90089962736 (7, 5) grad
3 12 1.9015122428 (97, 85) sloan
3 17 1.9026988667 (0, 0) 5 year media lab
3 22 1.90304616637 (49, 41) sloan
3 77 1.90482483618 (89, 77) sloan
3 23 1.90538013658 (61, 51) sloan
3 11 1.90792323521 (88, 76) 1styeargrad
3 66 1.90857332254 (42, 36) sloan
3 36 1.91247682182 (54, 45) sloan
3 80 1.93421084503 (27, 23) mlgrad
3 2 1.93916781423 (29, 25) mlgrad
3 85 1.93983546014 (6, 4) mlgrad
3 29 1.93984646985 (4, 2) mlgrad
3 65 1.93984646985 (53, 44) mlgrad
3 5 1.93984646985 (24, 0) 
3 90 1.93984680018 (13, 11) grad
3 10 1.9398476986 (37, 32) mlgrad
3 57 1.93984821443 (23, 20) mlgrad
3 78 1.93984856673 (12, 10) mlgrad
3 86 1.93984887391 (8, 6) mlgrad
3 15 1.93985031648 (15, 13) 1styeargrad
3 96 1.93985039119 (25, 21) mlgrad
3 43 1.93985115634 (101, 89) mlgrad
3 91 1.93985121452 (35, 30) mlgrad
3 74 1.93985146382 (75, 64) mlgrad
3 47 1.93985162072 (90, 78) mlgrad
3 28 1.93985162072 (0, 0) 6years
3 62 1.93985162072 (104, 92) mlgrad
3 6 1.93985162072 (3, 1) 1styeargrad
3 30 1.93985162072 (68, 57) mlgrad
3 82 1.93985162072 (83, 72) mlgrad
3 42 1.93985162072 (51, 0) 
3 81 1.94123466118 (19, 16) 1styeargrad
3 84 1.9426691048 (77, 66) sloan
3 60 1.95036388417 (67, 56) mlgrad
3 4 1.95206210369 (55, 46) sloan
3 9 1.95439414956 (0, 0) mlUrop
3 21 1.95769749601 (103, 91) mlgrad
3 50 1.96292704085 (86, 74) sloan
3 19 1.96688312402 (56, 47) sloan
3 13 1.9704951578 (87, 75) mlstaff
3 56 1.97284666523 (95, 83) sloan
3 38 1.97304592123 (52, 43) sloan
3 39 1.97431528343 (60, 50) mlgrad
3 25 inf (0, 0) sloan
3 48 inf (0, 0) Germany
3 52 inf (0, 0) 
3 53 inf (43, 37) mlgrad
3 55 inf (0, 0) urop_hd
3 64 inf (66, 55) sloan
3 67 inf (0, 0) sloan
3 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 4 (converts to 55, then to 46) sloan
4 19 0.67243056802 (56, 47) sloan
4 15 0.737972222872 (15, 13) 1styeargrad
4 82 0.77244419308 (83, 72) mlgrad
4 47 0.848131489316 (90, 78) mlgrad
4 9 1.27900458449 (0, 0) mlUrop
4 12 1.4260788926 (97, 85) sloan
4 85 1.46217703122 (6, 4) mlgrad
4 5 1.49565942008 (24, 0) 
4 56 1.50868644653 (95, 83) sloan
4 29 1.52288098913 (4, 2) mlgrad
4 65 1.55632206391 (53, 44) mlgrad
4 78 1.56096800309 (12, 10) mlgrad
4 13 1.62565260811 (87, 75) mlstaff
4 91 1.68469527251 (35, 30) mlgrad
4 2 1.93511158512 (29, 25) mlgrad
4 6 1.95203195982 (3, 1) 1styeargrad
4 17 1.95206210369 (0, 0) 5 year media lab
4 22 1.95206210369 (49, 41) sloan
4 66 1.95206210369 (42, 36) sloan
4 97 1.95206210369 (22, 19) 1styeargrad
4 27 1.95206210369 (34, 0) 
4 46 1.95206210369 (93, 81) sloan
4 93 1.95206210369 (65, 54) mlgrad
4 3 1.95206210369 (32, 28) mlfrosh
4 24 1.95206210369 (78, 67) mlfrosh
4 77 1.95206210369 (89, 77) sloan
4 35 1.95206210369 (0, 0) sloan
4 71 1.95206210369 (20, 17) 1styeargrad
4 89 1.95206210369 (26, 22) 1styeargrad
4 11 1.95206210369 (88, 76) 1styeargrad
4 59 1.95206210369 (7, 5) grad
4 61 1.95206210369 (79, 68) mlfrosh
4 70 1.95206210369 (40, 34) mlfrosh
4 36 1.95206210369 (54, 45) sloan
4 76 1.95206210369 (82, 71) 1styeargrad
4 20 1.95206210369 (74, 63) sloan
4 92 1.95206210369 (46, 39) sloan
4 80 1.95206210369 (27, 23) mlgrad
4 26 1.95206210369 (63, 53) 1styeargrad
4 58 1.95206210369 (33, 29) mlfrosh
4 23 1.95206210369 (61, 51) sloan
4 49 1.95206210369 (50, 42) mlgrad
4 8 1.95213817033 (18, 0) 
4 94 1.95216734704 (10, 8) mlgrad
4 86 1.9521936406 (8, 6) mlgrad
4 7 1.9521936406 (21, 18) 1styeargrad
4 14 1.9521936406 (16, 14) 1styeargrad
4 54 1.9521936406 (91, 0) mlgrad
4 68 1.9521936406 (38, 33) mlfrosh
4 16 1.9521936406 (102, 90) mlurop
4 84 1.9521936406 (77, 66) sloan
4 43 1.9521936406 (101, 89) mlgrad
4 90 1.9521936406 (13, 11) grad
4 28 1.9521936406 (0, 0) 6years
4 44 1.9521936406 (0, 0) 3rdyeargrad
4 31 1.9521936406 (0, 0) sloan
4 62 1.9521936406 (104, 92) mlgrad
4 63 1.9521936406 (36, 31) mlgrad
4 95 1.9521936406 (9, 7) professor
4 96 1.9521936406 (25, 21) mlgrad
4 10 1.9521936406 (37, 32) mlgrad
4 18 1.9521936406 (30, 26) mlgrad
4 57 1.9521936406 (23, 20) mlgrad
4 79 1.9521936406 (76, 65) sloan
4 81 1.9521936406 (19, 16) 1styeargrad
4 88 1.9521936406 (17, 15) mlstaff
4 30 1.9521936406 (68, 57) mlgrad
4 37 1.9521936406 (94, 82) mlgrad
4 72 1.9521936406 (81, 70) sloan
4 32 1.9521936406 (0, 0) graduated
4 33 1.9521936406 (41, 35) mlstaff
4 75 1.9521936406 (100, 88) 1styeargrad
4 34 1.9521936406 (96, 84) mlgrad
4 42 1.9521936406 (51, 0) 
4 45 1.9521936406 (84, 73) sloan
4 73 1.9521936406 (70, 59) sloan
4 83 1.9521936406 (5, 3) mlgrad
4 74 1.9521936406 (75, 64) mlgrad
4 41 1.95273644418 (0, 0) prof
4 21 1.95769749601 (103, 91) mlgrad
4 50 1.96292783164 (86, 74) sloan
4 69 1.97142667871 (28, 24) 1styeargrad
4 38 1.97304592123 (52, 43) sloan
4 60 1.97357830211 (67, 56) mlgrad
4 39 1.97431528343 (60, 50) mlgrad
4 40 1.98185835648 (98, 86) sloan
4 51 1.98367922438 (58, 49) 1styeargrad
4 25 inf (0, 0) sloan
4 48 inf (0, 0) Germany
4 52 inf (0, 0) 
4 53 inf (43, 37) mlgrad
4 55 inf (0, 0) urop_hd
4 64 inf (66, 55) sloan
4 67 inf (0, 0) sloan
4 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 5 (converts to 24, then to 0) 
5 29 0.663058965306 (4, 2) mlgrad
5 13 0.834785181965 (87, 75) mlstaff
5 78 1.12041177002 (12, 10) mlgrad
5 9 1.30314056922 (0, 0) mlUrop
5 85 1.37695569969 (6, 4) mlgrad
5 65 1.38312931829 (53, 44) mlgrad
5 19 1.42837167987 (56, 47) sloan
5 56 1.47611293244 (95, 83) sloan
5 4 1.49565942008 (55, 46) sloan
5 82 1.55082454216 (83, 72) mlgrad
5 12 1.56828544756 (97, 85) sloan
5 91 1.65191382575 (35, 30) mlgrad
5 15 1.68091006103 (15, 13) 1styeargrad
5 47 1.74778959314 (90, 78) mlgrad
5 2 1.91921296903 (29, 25) mlgrad
5 8 1.92912723741 (18, 0) 
5 17 1.92917785243 (0, 0) 5 year media lab
5 7 1.92917785243 (21, 18) 1styeargrad
5 27 1.92917785243 (34, 0) 
5 71 1.92917785243 (20, 17) 1styeargrad
5 24 1.92917785243 (78, 67) mlfrosh
5 76 1.92917785243 (82, 71) 1styeargrad
5 32 1.92917785243 (0, 0) graduated
5 58 1.92917785243 (33, 29) mlfrosh
5 83 1.92917841535 (5, 3) mlgrad
5 90 1.92917871506 (13, 11) grad
5 88 1.9291788249 (17, 15) mlstaff
5 10 1.92917961348 (37, 32) mlgrad
5 18 1.92917961545 (30, 26) mlgrad
5 68 1.92917986795 (38, 33) mlfrosh
5 57 1.92918012931 (23, 20) mlgrad
5 89 1.92918014501 (26, 22) 1styeargrad
5 86 1.92918078878 (8, 6) mlgrad
5 95 1.92918106543 (9, 7) professor
5 94 1.9291812582 (10, 8) mlgrad
5 63 1.92918173234 (36, 31) mlgrad
5 37 1.92918196061 (94, 82) mlgrad
5 77 1.92918228803 (89, 77) sloan
5 96 1.92918230606 (25, 21) mlgrad
5 97 1.92918244936 (22, 19) 1styeargrad
5 80 1.92918250875 (27, 23) mlgrad
5 20 1.92918301267 (74, 63) sloan
5 43 1.92918307122 (101, 89) mlgrad
5 35 1.92918330237 (0, 0) sloan
5 74 1.92918337869 (75, 64) mlgrad
5 22 1.92918353559 (49, 41) sloan
5 31 1.92918353559 (0, 0) sloan
5 44 1.92918353559 (0, 0) 3rdyeargrad
5 46 1.92918353559 (93, 81) sloan
5 70 1.92918353559 (40, 34) mlfrosh
5 62 1.92918353559 (104, 92) mlgrad
5 6 1.92918353559 (3, 1) 1styeargrad
5 61 1.92918353559 (79, 68) mlfrosh
5 79 1.92918353559 (76, 65) sloan
5 30 1.92918353559 (68, 57) mlgrad
5 59 1.92918353559 (7, 5) grad
5 92 1.92918353559 (46, 39) sloan
5 45 1.92918353559 (84, 73) sloan
5 33 1.92918353559 (41, 35) mlstaff
5 75 1.92918353559 (100, 88) 1styeargrad
5 26 1.92918353559 (63, 53) 1styeargrad
5 42 1.92918353559 (51, 0) 
5 73 1.92918353559 (70, 59) sloan
5 23 1.92918353559 (61, 51) sloan
5 49 1.92918353559 (50, 42) mlgrad
5 14 1.9324617808 (16, 14) 1styeargrad
5 93 1.9338660921 (65, 54) mlgrad
5 16 1.93669686488 (102, 90) mlurop
5 28 1.93933844365 (0, 0) 6years
5 54 1.93942531984 (91, 0) mlgrad
5 3 1.93984646985 (32, 28) mlfrosh
5 81 1.94123412889 (19, 16) 1styeargrad
5 84 1.9426685725 (77, 66) sloan
5 72 1.94306958068 (81, 70) sloan
5 11 1.94757918025 (88, 76) 1styeargrad
5 66 1.94786548831 (42, 36) sloan
5 34 1.95098207934 (96, 84) mlgrad
5 36 1.95160446122 (54, 45) sloan
5 41 1.95273553317 (0, 0) prof
5 21 1.95769749601 (103, 91) mlgrad
5 50 1.96292704085 (86, 74) sloan
5 69 1.97146382551 (28, 24) 1styeargrad
5 38 1.97304592123 (52, 43) sloan
5 60 1.97370503846 (67, 56) mlgrad
5 39 1.97431528343 (60, 50) mlgrad
5 40 1.98198989339 (98, 86) sloan
5 51 1.98367922438 (58, 49) 1styeargrad
5 25 inf (0, 0) sloan
5 48 inf (0, 0) Germany
5 52 inf (0, 0) 
5 53 inf (43, 37) mlgrad
5 55 inf (0, 0) urop_hd
5 64 inf (66, 55) sloan
5 67 inf (0, 0) sloan
5 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 6 (converts to 3, then to 1) 1styeargrad
6 27 1.13439415706 (34, 0) 
6 2 1.30481392953 (29, 25) mlgrad
6 76 1.4246011852 (82, 71) 1styeargrad
6 91 1.47446291143 (35, 30) mlgrad
6 92 1.48911066432 (46, 39) sloan
6 63 1.4966461461 (36, 31) mlgrad
6 78 1.51172939226 (12, 10) mlgrad
6 58 1.57280017332 (33, 29) mlfrosh
6 44 1.58627978048 (0, 0) 3rdyeargrad
6 32 1.60884381524 (0, 0) graduated
6 83 1.61093542544 (5, 3) mlgrad
6 97 1.66690749355 (22, 19) 1styeargrad
6 82 1.67401986676 (83, 72) mlgrad
6 15 1.68188624695 (15, 13) 1styeargrad
6 90 1.68524581383 (13, 11) grad
6 80 1.71422077887 (27, 23) mlgrad
6 94 1.72352507619 (10, 8) mlgrad
6 7 1.73040511336 (21, 18) 1styeargrad
6 47 1.74631591948 (90, 78) mlgrad
6 75 1.7825902224 (100, 88) 1styeargrad
6 30 1.79274411093 (68, 57) mlgrad
6 59 1.79699768461 (7, 5) grad
6 62 1.79821195991 (104, 92) mlgrad
6 71 1.80018326791 (20, 17) 1styeargrad
6 95 1.80393944789 (9, 7) professor
6 57 1.8063584472 (23, 20) mlgrad
6 88 1.80894025241 (17, 15) mlstaff
6 89 1.81467408144 (26, 22) 1styeargrad
6 77 1.82662991632 (89, 77) sloan
6 73 1.84236108036 (70, 59) sloan
6 68 1.84296750948 (38, 33) mlfrosh
6 96 1.84640654347 (25, 21) mlgrad
6 33 1.84814110633 (41, 35) mlstaff
6 46 1.85786244298 (93, 81) sloan
6 43 1.86204171134 (101, 89) mlgrad
6 35 1.8657086024 (0, 0) sloan
6 37 1.86810217709 (94, 82) mlgrad
6 79 1.87152489869 (76, 65) sloan
6 65 1.87225345033 (53, 44) mlgrad
6 20 1.88384115624 (74, 63) sloan
6 8 1.88476368215 (18, 0) 
6 49 1.88632183699 (50, 42) mlgrad
6 29 1.88648578279 (4, 2) mlgrad
6 74 1.88948362644 (75, 64) mlgrad
6 45 1.89286679997 (84, 73) sloan
6 85 1.89402383029 (6, 4) mlgrad
6 26 1.89595992649 (63, 53) 1styeargrad
6 61 1.8969973693 (79, 68) mlfrosh
6 86 1.90010334427 (8, 6) mlgrad
6 24 1.90139512569 (78, 67) mlfrosh
6 70 1.90469376557 (40, 34) mlfrosh
6 17 1.9066592809 (0, 0) 5 year media lab
6 31 1.90713596962 (0, 0) sloan
6 18 1.90862530259 (30, 26) mlgrad
6 23 1.91294676133 (61, 51) sloan
6 22 1.91340425886 (49, 41) sloan
6 42 1.91434430239 (51, 0) 
6 10 1.92420526898 (37, 32) mlgrad
6 5 1.92918353559 (24, 0) 
6 14 1.93246746396 (16, 14) 1styeargrad
6 93 1.9338660921 (65, 54) mlgrad
6 16 1.93669818898 (102, 90) mlurop
6 28 1.93933844365 (0, 0) 6years
6 54 1.93942531984 (91, 0) mlgrad
6 3 1.93985162072 (32, 28) mlfrosh
6 81 1.94123981205 (19, 16) 1styeargrad
6 84 1.94267425566 (77, 66) sloan
6 72 1.94307020432 (81, 70) sloan
6 11 1.94757918025 (88, 76) 1styeargrad
6 66 1.94786548831 (42, 36) sloan
6 34 1.95098207934 (96, 84) mlgrad
6 36 1.95160446122 (54, 45) sloan
6 4 1.95203195982 (55, 46) sloan
6 41 1.95273644418 (0, 0) prof
6 9 1.95432451895 (0, 0) mlUrop
6 21 1.95769749601 (103, 91) mlgrad
6 50 1.96292783164 (86, 74) sloan
6 19 1.9659966569 (56, 47) sloan
6 13 1.9703175016 (87, 75) mlstaff
6 12 1.97041340073 (97, 85) sloan
6 69 1.97146506374 (28, 24) 1styeargrad
6 56 1.97284666523 (95, 83) sloan
6 38 1.97304592123 (52, 43) sloan
6 60 1.97370983902 (67, 56) mlgrad
6 39 1.97431528343 (60, 50) mlgrad
6 40 1.98198989339 (98, 86) sloan
6 51 1.98367922438 (58, 49) 1styeargrad
6 25 inf (0, 0) sloan
6 48 inf (0, 0) Germany
6 52 inf (0, 0) 
6 53 inf (43, 37) mlgrad
6 55 inf (0, 0) urop_hd
6 64 inf (66, 55) sloan
6 67 inf (0, 0) sloan
6 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 7 (converts to 21, then to 18) 1styeargrad
7 54 1.10812686925 (91, 0) mlgrad
7 44 1.28862847354 (0, 0) 3rdyeargrad
7 89 1.33386217009 (26, 22) 1styeargrad
7 83 1.34037144309 (5, 3) mlgrad
7 8 1.36634638703 (18, 0) 
7 32 1.36690468575 (0, 0) graduated
7 75 1.37248785243 (100, 88) 1styeargrad
7 14 1.40076844501 (16, 14) 1styeargrad
7 95 1.40867721755 (9, 7) professor
7 18 1.46408343095 (30, 26) mlgrad
7 68 1.46538990942 (38, 33) mlfrosh
7 16 1.48777636542 (102, 90) mlurop
7 63 1.51448619959 (36, 31) mlgrad
7 97 1.51961412617 (22, 19) 1styeargrad
7 73 1.53474773871 (70, 59) sloan
7 51 1.54885897609 (58, 49) 1styeargrad
7 41 1.55385434476 (0, 0) prof
7 76 1.56269151201 (82, 71) 1styeargrad
7 94 1.56362458397 (10, 8) mlgrad
7 88 1.56664785997 (17, 15) mlstaff
7 79 1.5701863353 (76, 65) sloan
7 31 1.63171994993 (0, 0) sloan
7 33 1.63941487354 (41, 35) mlstaff
7 37 1.65087614614 (94, 82) mlgrad
7 3 1.67844537262 (32, 28) mlfrosh
7 34 1.68233709377 (96, 84) mlgrad
7 45 1.68463126699 (84, 73) sloan
7 78 1.73038312464 (12, 10) mlgrad
7 27 1.73039941714 (34, 0) 
7 58 1.73039941714 (33, 29) mlfrosh
7 90 1.73040029283 (13, 11) grad
7 15 1.73040380912 (15, 13) 1styeargrad
7 80 1.73040408652 (27, 23) mlgrad
7 91 1.73040470716 (35, 30) mlgrad
7 2 1.73040511336 (29, 25) mlgrad
7 82 1.73040511336 (83, 72) mlgrad
7 6 1.73040511336 (3, 1) 1styeargrad
7 92 1.73040511336 (46, 39) sloan
7 47 1.74631591948 (90, 78) mlgrad
7 40 1.78259275491 (98, 86) sloan
7 69 1.78924186762 (28, 24) 1styeargrad
7 30 1.79274411093 (68, 57) mlgrad
7 59 1.79699768461 (7, 5) grad
7 62 1.79821195991 (104, 92) mlgrad
7 71 1.80017757168 (20, 17) 1styeargrad
7 57 1.80635504091 (23, 20) mlgrad
7 35 1.80881555033 (0, 0) sloan
7 20 1.82144667326 (74, 63) sloan
7 77 1.82662866876 (89, 77) sloan
